ID,First Added,First Listed,Object Type,Image,Color
25,1.0,1.0,Trigger,https://raw.githubusercontent.com/RandomCodePlayer/RandomCodePlayer.github.io/refs/heads/main/GDArchiveVault/ObjDataBase/ObjImages/25.webp,Gn
26,1.0,1.0,Trigger,https://raw.githubusercontent.com/RandomCodePlayer/RandomCodePlayer.github.io/refs/heads/main/GDArchiveVault/ObjDataBase/ObjImages/26.webp,Gn
27,1.0,1.0,Trigger,https://raw.githubusercontent.com/RandomCodePlayer/RandomCodePlayer.github.io/refs/heads/main/GDArchiveVault/ObjDataBase/ObjImages/27.webp,Gn
28,1.0,1.3,Trigger,https://raw.githubusercontent.com/RandomCodePlayer/RandomCodePlayer.github.io/refs/heads/main/GDArchiveVault/ObjDataBase/ObjImages/28.webp,Gn
29,1.0,1.0,Trigger,https://raw.githubusercontent.com/RandomCodePlayer/RandomCodePlayer.github.io/refs/heads/main/GDArchiveVault/ObjDataBase/ObjImages/29.webp,Yw
30,1.0,1.0,Trigger,https://raw.githubusercontent.com/RandomCodePlayer/RandomCodePlayer.github.io/refs/heads/main/GDArchiveVault/ObjDataBase/ObjImages/30.webp,Yw
31,1.0,1.0,Trigger,https://raw.githubusercontent.com/RandomCodePlayer/RandomCodePlayer.github.io/refs/heads/main/GDArchiveVault/ObjDataBase/ObjImages/31.webp,Gn
32,1.0,1.0,Trigger,https://raw.githubusercontent.com/RandomCodePlayer/RandomCodePlayer.github.io/refs/heads/main/GDArchiveVault/ObjDataBase/ObjImages/32.webp,Gn
33,1.0,1.0,Trigger,https://raw.githubusercontent.com/RandomCodePlayer/RandomCodePlayer.github.io/refs/heads/main/GDArchiveVault/ObjDataBase/ObjImages/33.webp,Gn
34,1.0,Never,Block,https://raw.githubusercontent.com/RandomCodePlayer/RandomCodePlayer.github.io/refs/heads/main/GDArchiveVault/ObjDataBase/ObjImages/34.webp,Yw
35,1.0,1.0,Pad,https://raw.githubusercontent.com/RandomCodePlayer/RandomCodePlayer.github.io/refs/heads/main/GDArchiveVault/ObjDataBase/ObjImages/35.webp,Gn
36,1.0,1.0,Orb,https://raw.githubusercontent.com/RandomCodePlayer/RandomCodePlayer.github.io/refs/heads/main/GDArchiveVault/ObjDataBase/ObjImages/36.webp,Gn
37,Never,Never,N/A,,Rd
38,Never,Never,N/A,,Rd
39,1.0,1.0,Hazard,https://raw.githubusercontent.com/RandomCodePlayer/RandomCodePlayer.github.io/refs/heads/main/GDArchiveVault/ObjDataBase/ObjImages/39.webp,Gn
40,1.0,1.0,Block,https://raw.githubusercontent.com/RandomCodePlayer/RandomCodePlayer.github.io/refs/heads/main/GDArchiveVault/ObjDataBase/ObjImages/40.webp,Yw
41,1.0,1.0,Decoration,https://raw.githubusercontent.com/RandomCodePlayer/RandomCodePlayer.github.io/refs/heads/main/GDArchiveVault/ObjDataBase/ObjImages/41.webp,Gn
42,1.0,Never,Decoration,https://raw.githubusercontent.com/RandomCodePlayer/RandomCodePlayer.github.io/refs/heads/main/GDArchiveVault/ObjDataBase/ObjImages/42.webp,Rd
43,1.0,Never,Decoration,https://raw.githubusercontent.com/RandomCodePlayer/RandomCodePlayer.github.io/refs/heads/main/GDArchiveVault/ObjDataBase/ObjImages/43.webp,Rd
44,Never,Never,N/A,https://raw.githubusercontent.com/RandomCodePlayer/RandomCodePlayer.github.io/refs/heads/main/GDArchiveVault/ObjDataBase/ObjImages/44.webp,Rd
45,1.02,1.1,Portal,https://raw.githubusercontent.com/RandomCodePlayer/RandomCodePlayer.github.io/refs/heads/main/GDArchiveVault/ObjDataBase/ObjImages/45.webp,Gn
46,1.02,1.1,Portal,https://raw.githubusercontent.com/RandomCodePlayer/RandomCodePlayer.github.io/refs/heads/main/GDArchiveVault/ObjDataBase/ObjImages/46.webp,Gn
47,1.11,1.2,Portal,https://raw.githubusercontent.com/RandomCodePlayer/RandomCodePlayer.github.io/refs/heads/main/GDArchiveVault/ObjDataBase/ObjImages/47.webp,Gn
